image,steer
0,c
1,c
2,c
3,c
4,c
5,c
6,c
7,r
8,l
9,c
10,c
11,c
12,c
13,c
14,c
15,c
16,c
17,c
18,l
19,c
20,c
21,c
22,c
23,c
24,l
25,c
26,c
27,c
28,c
29,c
30,l
31,c
32,c
33,c
34,c
35,c
36,l
37,c
38,c
39,c
40,c
41,c
42,l
43,c
44,c
45,c
46,c
47,c
48,l
49,c
50,c
51,c
52,c
53,l
54,c
55,c
56,c
57,c
58,l
59,c
60,c
61,c
62,c
63,c
64,l
65,c
66,c
67,c
68,c
69,c
70,l
71,c
72,c
73,c
74,c
75,c
76,c
77,l
78,l
79,c
80,c
81,l
82,l
83,l
84,l
85,c
86,c
87,c
88,c
89,c
90,l
91,c
92,c
93,l
94,c
95,l
96,l
97,c
98,c
99,c
100,c
101,c
102,c
103,l
104,c
105,c
106,c
107,c
108,c
109,l
110,c
111,c
112,c
113,c
114,l
115,l
116,c
117,c
118,c
119,c
120,c
121,c
122,c
123,c
124,c
125,c
126,c
127,c
128,c
129,c
130,c
131,c
132,c
133,l
134,c
135,c
136,c
137,c
138,c
139,l
140,l
141,c
142,c
143,c
144,c
145,c
146,c
147,c
148,c
149,c
150,c
151,c
152,c
153,c
154,c
155,c
156,c
157,c
158,c
159,c
160,c
161,c
162,l
163,c
164,c
165,c
166,c
167,c
168,c
169,c
170,c
171,c
172,c
173,c
174,c
175,c
176,l
177,c
178,l
179,l
180,c
181,c
182,c
183,c
184,c
185,c
186,c
187,c
188,c
189,c
190,l
191,c
192,c
193,c
194,c
195,c
196,c
197,l
198,c
199,c
200,c
201,c
202,c
203,c
204,c
205,l
206,c
207,c
208,c
209,c
210,c
211,l
212,c
213,c
214,c
215,c
216,c
217,l
218,c
219,c
220,c
221,c
222,c
223,c
224,c
225,c
226,l
227,l
228,c
229,c
230,c
231,c
232,c
233,c
234,c
235,c
236,l
237,l
238,c
239,l
240,c
241,c
242,l
243,l
244,l
245,l
246,c
247,c
248,l
249,c
250,l
251,l
252,l
253,l
254,c
255,c
256,c
257,c
258,c
259,c
260,c
261,l
262,c
263,c
264,c
265,c
266,c
267,c
268,l
269,c
270,c
271,c
272,c
273,c
274,c
275,l
276,c
277,c
278,c
279,c
280,l
281,c
282,c
283,c
284,c
285,l
286,c
287,c
288,c
289,c
290,c
291,l
292,c
293,c
294,c
295,c
296,l
297,c
298,c
299,c
300,c
301,c
302,c
303,c
304,l
305,c
306,c
307,c
308,c
309,c
310,l
311,l
312,c
313,c
314,l
315,l
316,l
317,l
318,c
319,c
320,c
321,c
322,c
323,c
324,c
325,c
326,l
327,l
328,l
329,l
330,c
331,c
332,l
333,l
334,l
335,l
336,c
337,c
338,l
339,l
340,c
341,l
342,c
343,c
344,l
345,c
346,l
347,c
348,c
349,l
350,c
351,c
352,c
353,c
354,c
355,l
